,period,study_area,sub_area,area_subarea,parking_transaction_date_time,paymen_tmean,transaction_amount,paidduration_in_minutes,source_element_key
932,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 10:16,PHONE,1.03,60,57194
933,Evening,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 17:16,PHONE,1.83,44,57193
934,Evening,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 17:16,PHONE,0.73,44,1433
935,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 11:20,PHONE,4,240,1433
936,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 12:15,PHONE,4,120,47225
937,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 13:16,PHONE,0.38,45,94602
938,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 10:17,PHONE,0.93,60,47225
939,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 14:20,PHONE,0.5,60,94602
940,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 13:18,PHONE,4,120,47225
941,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:18,PHONE,0.5,60,94602
942,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 10:19,PHONE,0.25,30,1433
943,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:22,PHONE,0.63,15,57193
944,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 17:18,CREDIT CARD,0.5,60,24042
945,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 13:18,PHONE,1,60,1433
946,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 8:00,PHONE,0.67,80,47225
947,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 8:00,PHONE,0.92,110,94602
948,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:20,PHONE,1,120,94602
949,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 9:26,PHONE,1,120,94602
950,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 9:26,PHONE,3.22,240,24042
951,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 12:15,CREDIT CARD,4,240,24042
952,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 15:18,PHONE,2.7,162,1433
953,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 9:24,CREDIT CARD,0.75,90,47225
954,Afternoon,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 16:24,PHONE,1.7,60,70750
955,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:22,CREDIT CARD,1,120,94602
956,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:26,PHONE,2.5,60,57193
957,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 12:20,PHONE,1,30,47225
958,Evening,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/28/2022 19:30,PHONE,3,120,77317
959,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 19:32,PHONE,0.25,15,47225
960,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 8:00,PHONE,0.47,56,57193
961,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:23,PHONE,1,120,94602
962,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 12:21,PHONE,0.13,15,94602
963,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 9:30,PHONE,1.25,120,1433
964,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/28/2022 13:22,CREDIT CARD,2,221,53138
965,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 9:31,PHONE,0.5,60,57194
966,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 10:25,PHONE,0.25,30,30970
967,Evening,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 17:24,PHONE,0.5,30,1433
968,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 16:28,PHONE,0.77,92,94602
969,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 9:31,CREDIT CARD,3.26,240,1433
970,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 8:00,PHONE,0.98,118,94602
971,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 9:32,PHONE,3.32,150,57193
972,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 9:31,CREDIT CARD,2.31,120,30970
973,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 9:32,PHONE,3.27,240,1433
974,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 9:33,PHONE,2.38,120,30970
975,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 18:32,PHONE,0.73,88,24041
976,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 12:24,PHONE,4,240,1433
977,Evening,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 17:28,PHONE,1.5,60,30970
978,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 16:30,PHONE,1.5,90,1433
979,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 13:27,PHONE,1,120,94602
980,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 13:27,PHONE,1.88,45,57194
981,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 11:33,PHONE,2,60,47225
982,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:01,PHONE,1,120,1433
983,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:29,PHONE,1,120,94602
984,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 8:01,PHONE,1,120,30970
985,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 10:27,CREDIT CARD,1,50,57193
986,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 11:33,CREDIT CARD,6,120,30970
987,Evening,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/28/2022 19:44,PHONE,1.5,60,77317
988,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 14:28,PHONE,1,120,94602
989,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 14:28,PHONE,0.5,30,1433
990,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 12:26,PHONE,1,120,94602
991,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 11:35,CREDIT CARD,4,120,47225
992,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 11:35,PHONE,2,120,24041
993,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 17:29,PHONE,0.75,45,47225
994,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 8:02,PHONE,1,120,94602
995,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 12:27,PHONE,4,240,24041
996,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 11:36,PHONE,0.75,90,94602
997,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 15:30,CREDIT CARD,5.25,120,30970
998,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 15:30,CASH,0.25,15,1433
999,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 17:30,PHONE,1.25,150,24041
1000,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 13:30,PHONE,2,120,24041
1001,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 14:30,PHONE,1,120,94602
1002,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 12:30,PHONE,4,240,24041
1003,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 12:28,CREDIT CARD,2.5,60,57193
1004,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 8:02,PHONE,1,120,30970
1005,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 8:02,PHONE,1,120,57193
1006,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 16:36,PHONE,1.2,120,24041
1007,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 17:30,CASH,1.25,149,70750
1008,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:32,CREDIT CARD,0.5,60,94602
1009,Morning,South Lake Union,North,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,3/28/2022 10:33,PHONE,2.5,300,12682
1010,Evening,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 18:38,CREDIT CARD,2.07,82,30970
1011,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 13:32,PHONE,4,240,1433
1012,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 13:32,CREDIT CARD,4,240,1433
1013,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:03,PHONE,2.53,240,1433
1014,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 8:03,PHONE,0.5,60,57194
1015,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:35,CREDIT CARD,1,120,94602
1016,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 15:33,PHONE,1.48,90,24042
1017,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 12:31,PHONE,6,120,30970
1018,Evening,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 17:33,PHONE,0.23,27,94602
1019,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 8:04,PHONE,1,120,47225
1020,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 15:34,PHONE,3,60,30970
1021,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 14:33,PHONE,1,120,94602
1022,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:36,PHONE,1,120,94602
1023,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 9:44,PHONE,3.37,240,24041
1024,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:38,CREDIT CARD,1,120,94602
1025,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/28/2022 8:04,PHONE,2.67,320,10165
1026,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 9:45,PHONE,1,120,94602
1027,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 11:41,PHONE,4,240,1433
1028,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 15:35,PHONE,0.33,20,1433
1029,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 10:38,CREDIT CARD,0.25,24,47225
1030,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 17:35,PHONE,1.21,145,24041
1031,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 11:42,PHONE,4,240,24042
1032,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 12:32,PHONE,4,240,1433
1033,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 15:35,PHONE,5,120,57193
1034,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 16:42,PHONE,0.65,78,94602
1035,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 13:36,PHONE,0.5,60,94602
1036,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 14:35,CASH,1.25,75,1433
1037,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 18:45,PHONE,0.63,75,24042
1038,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 15:37,PHONE,5.96,143,57194
1039,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 16:43,CREDIT CARD,1.78,196,24041
1040,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 15:37,PHONE,3.75,90,57193
1041,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 18:47,PHONE,0.61,73,24042
1042,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 10:42,PHONE,0.13,15,47225
1043,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 17:37,PHONE,0.13,15,24042
1044,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 18:47,PHONE,0.61,73,24042
1045,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 13:38,CASH,3.75,240,24041
1046,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 11:44,PHONE,1,120,94602
1047,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 14:37,PHONE,3.38,203,1433
1048,Morning,South Lake Union,North,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,3/28/2022 8:08,PHONE,3.5,420,12682
1049,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:08,PHONE,1.57,180,1433
1050,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 8:08,CREDIT CARD,0.25,30,94602
1051,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/28/2022 20:44,PHONE,1.5,60,77317
1052,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:44,PHONE,1,120,94602
1053,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 12:36,PHONE,4,240,1433
1054,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:09,PHONE,2.58,240,1433
1055,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 8:09,PHONE,1,120,24041
1056,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 8:09,PHONE,0.5,60,47225
1057,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 14:39,PHONE,1.5,90,1433
1058,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:08,CREDIT CARD,2.57,240,1433
1059,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:46,PHONE,3.08,74,57194
1060,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 9:50,CREDIT CARD,0.75,73,57194
1061,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 9:51,PHONE,0.13,15,1433
1062,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 9:51,PHONE,1,120,94602
1063,Afternoon,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 16:47,PHONE,0.93,60,70750
1064,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:10,PHONE,2.58,240,1433
1065,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 13:40,PHONE,6,120,30970
1066,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:10,PHONE,2.58,240,1433
1067,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 11:47,PHONE,6,120,30970
1068,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:12,PHONE,2.6,240,1433
1069,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 10:47,PHONE,2.07,60,57194
1070,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 9:53,PHONE,7.77,240,57193
1071,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 14:41,PHONE,1,120,94602
1072,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 13:42,PHONE,3.75,90,57193
1073,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 12:39,PHONE,2,120,1433
1074,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:48,PHONE,1,120,94602
1075,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 12:40,PHONE,2,60,47225
1076,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 13:42,CASH,0.5,15,47225
1077,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:50,PHONE,2.5,60,57193
1078,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 8:12,PHONE,1,120,24041
1079,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 9:54,PHONE,0.5,60,47225
1080,Morning,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/28/2022 11:49,PHONE,1,120,53137
1081,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 11:49,PHONE,1,120,94602
1082,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 10:48,CREDIT CARD,3.9,240,1433
1083,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 11:50,PHONE,5,120,70750
1084,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 11:49,CREDIT CARD,1.25,75,1433
1086,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 14:44,PHONE,1.67,40,57193
1087,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 17:44,PHONE,0.25,15,47225
1088,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/28/2022 8:16,PHONE,0.5,60,47225
1089,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:52,PHONE,2.83,68,57193
1090,Evening,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/28/2022 17:44,PHONE,26,256,53138
1091,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 11:52,PHONE,2.5,60,57193
1092,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 13:47,PHONE,2.5,60,57193
1093,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 8:17,PHONE,1,120,94602
1094,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:17,PHONE,2.64,240,1433
1095,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 15:46,PHONE,3.75,90,57193
1096,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 12:44,PHONE,4,240,24041
1097,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 9:57,CREDIT CARD,1.5,79,30970
1098,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 17:46,PHONE,1.12,134,24041
1099,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 16:54,CREDIT CARD,2.77,66,57193
1100,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 10:53,PHONE,3.94,240,1433
1101,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 10:53,PHONE,1,120,94602
1102,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 8:18,PHONE,2.65,240,24041
1103,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 11:53,PHONE,1,120,94602
1104,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 15:47,PHONE,2.61,240,24041
1105,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 14:47,PHONE,3.22,193,1433
1106,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 11:53,PHONE,2.5,60,57193
1107,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 10:54,CREDIT CARD,3.95,240,1433
1108,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 9:58,CREDIT CARD,2.92,119,70750
1109,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 8:21,PHONE,0.75,90,1433
1110,Evening,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 17:48,PHONE,1.5,60,30970
1111,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 13:49,CREDIT CARD,4,96,57194
1112,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/28/2022 11:55,PHONE,4,240,24041
1113,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 12:46,PHONE,1.25,30,57194
1114,Evening,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 17:48,CREDIT CARD,0.25,11,94602
1115,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/28/2022 11:54,CREDIT CARD,6,120,30970
1116,Morning,South Lake Union,North,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,3/28/2022 8:22,PHONE,3,360,12682
1117,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/28/2022 9:59,CREDIT CARD,2.96,119,70750
1118,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 11:55,PHONE,2.5,60,57194
1119,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 12:47,PHONE,0.5,30,1433
1120,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/28/2022 15:50,CREDIT CARD,1,120,94602
1121,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/28/2022 15:50,PHONE,2,120,1433
1122,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/28/2022 8:24,PHONE,1,120,57193
